batch,dot,zdot,div
197,0.4941047905,1.129498688,1.437293773
198,3.581603067,-0.3309628417,2.141314705
199,2.673164081,0.7580260332,2.569213179
200,0.5210711493,-0.1457290583,3.018420293
201,3.598726229,1.803938897,0.2985777183
202,-0.3953769956,2.648656094,3.154392131
203,1.772810271,-1.725906439,3.640600865
204,1.153586726,1.722097864,1.062939109
205,1.483567721,0.9715136115,1.95308504
206,0.5703500282,0.7982262487,1.645235998
207,0.7949001442,2.1700563,2.892642092
208,3.726066629,1.631403792,1.717037794
209,1.970568052,1.595955729,3.236097209
210,2.433122246,2.571895253,2.607982194
211,2.82369093,1.290918854,1.008178191
212,2.929445614,1.504480532,1.347378567
213,2.10056583,1.346375504,1.38118368
214,0.515472758,1.452119398,1.319901134
215,1.267871461,0.1318782759,2.647959312
216,1.939613576,0.5385034349,3.416189106
217,1.693468277,0.1793417703,1.029449134
218,1.289261067,0.4041121561,2.22435878
219,2.059262962,2.429612555,1.453984546
220,2.988748941,2.828639048,2.193898078
221,2.903319625,2.475050653,1.446241763
222,2.194987816,2.847266317,1.620353431
223,1.697862927,3.536833628,1.798802581
224,2.358170273,2.984914868,0.8591374839
225,4.275408811,1.233353899,3.448334583
226,0.7706838807,1.211387464,3.925386262
227,3.294757306,0.7419542092,3.4222647
228,2.79328435,0.8196582062,1.552412092
229,3.929521288,2.297879008,1.99310186
230,1.619338632,2.868009792,2.368632839
231,1.977406671,3.590364366,2.479584184
232,2.300593616,1.901421097,1.134511524
233,3.159782353,1.292767023,2.728690404
234,-0.1995168743,2.860541969,2.059947235
235,0.9740949363,1.905279296,1.361275223
236,0.597421836,1.647459916,1.481374218
237,1.501354195,3.597253819,0.9796466472
238,3.161262249,0.8094382859,0.6525764943
239,1.875215945,3.004681304,2.243325967
240,0.7056636027,2.655605547,1.177652933
241,2.752474866,0.3608867717,1.773014695
242,2.402137624,3.11163225,1.907634099
243,0.6597690641,1.455889192,1.929357257
244,1.52171594,2.470616785,2.241744303
245,3.372346733,2.479031946,1.768291184
246,1.261380987,2.278218814,1.853147897
247,3.004119132,-0.93771587,2.748615951
248,1.193524901,1.291121621,1.766678803
249,3.07146835,1.644960161,0.6394499627
250,-0.5335382436,0.990699202,1.893236508
251,0.7536714203,1.474537206,2.067661849
252,4.284206468,3.730418643,1.525032731
253,3.529540825,3.393970092,2.354905307
254,1.326046441,1.150811789,0.5562699869
255,0.890943011,0.1540030276,3.116372926
256,0.8241638079,1.760298999,0.8331333204
257,4.970166693,1.401376101,2.921614118
258,3.825527652,1.458256446,2.171834045
259,3.478768941,1.194562041,1.776421967
260,0.2867650086,1.237687051,2.697991906
261,1.985049541,0.5964878262,1.247026597
262,0.9083579323,2.445588543,2.20818999
263,1.268623791,0.6769605915,1.377042233
264,1.508574333,2.419033637,3.445408738
265,2.631033807,2.440987493,1.667803649
266,2.543581895,2.311081258,1.457387513
267,0.7596711427,-0.1500096277,2.172084674
268,0.484945286,2.939980355,2.254549952
269,3.746396928,3.401858207,1.460092825
270,0.4490275365,1.333098606,3.417794913
271,1.247663843,0.1302651405,0.5052733954
272,2.250340569,2.084519577,1.587657615
273,1.153090443,-0.2263510915,3.0809186
274,0.5901798453,2.064695127,2.864991822
275,3.058468019,0.01914000559,1.964762953
276,1.80631842,1.272972863,2.604937649
277,1.211650578,0.8410351703,2.700219338
278,2.87505318,4.449241952,2.798309513
279,1.044233077,1.534928947,1.841332306
280,1.36280791,0.3783319403,3.135439301
281,2.3801362,0.4223988785,2.752862015
282,1.338643129,0.6779823351,4.09307065
283,2.052454376,2.461702734,0.478144819
284,4.153209698,2.218914518,1.763502568
285,1.79216376,1.446455885,2.378830301
286,1.040620995,2.658344683,3.178725418
287,3.145087467,2.889290618,1.458835922
288,3.580113926,3.85210009,1.584193859
289,3.62925664,1.991566345,-0.2145527303
290,0.4799260151,1.274968618,4.075823775
291,1.642539933,2.315608246,1.822120198
292,2.630660465,1.11679199,1.820849499
293,1.001304072,1.993998499,1.579709267
294,-0.6596238184,2.90646059,2.313996963
295,-0.2854046163,3.160231757,0.7384587997
296,2.597570042,0.2331634961,0.6042227049
297,2.233487375,2.991627551,0.7285585906
298,4.321170176,0.1330650907,1.896990634
299,2.616803794,3.073116056,1.02248446
300,3.159460686,3.422955952,3.186917949
301,2.204669055,1.649910273,0.7988170591
302,3.200711002,2.058629725,1.199761837
303,1.639416613,1.794896206,2.542780444
304,1.524817768,3.130589092,3.284181712
305,0.1122451037,-0.4804015479,3.683287753
306,4.105542063,0.8116660747,1.883841395
307,0.5961364401,-0.917813358,0.5965586156
308,1.573414825,2.138988641,0.7838583364
309,3.082815593,0.9559149117,0.9079334857
310,-0.1815782563,3.619173085,2.681242434
311,2.061263354,4.291903872,3.673905473
312,1.219427294,2.350417683,0.696925316
313,3.066845645,0.9143856071,2.08353377
314,1.520840588,1.469084036,1.060060875
315,2.673604637,1.276393316,2.530371617
316,1.603694683,0.5305121268,2.390202795
317,2.590883503,0.4703197065,2.753908262
318,0.2668277293,1.601949822,1.538887882
